0,A3533961A,Current Prices ;  Total goods debits,$ Millions,Original,3
7248,A3605670A,Mining (B) ;  Coal Mining: Percentage changes,Percent,Seasonally Adjusted,3
7249,A3605672F,Mining (B) ;  Oil and gas extraction: Percentage changes,Percent,Seasonally Adjusted,3
7250,A83722606A,Mining (B) ;  Iron ore mining: Percentage changes,Percent,Seasonally Adjusted,3
7251,A83722611V,Mining (B) ;  Other mining: Percentage changes,Percent,Seasonally Adjusted,3
7252,A2716045A,Mining (B) ;  Mining excluding exploration and mining support services: Percentage changes,Percent,Seasonally Adjusted,3
7253,A2716044X,Mining (B) ;  Exploration and mining support services: Percentage changes,Percent,Seasonally Adjusted,3
7254,A2716043W,Mining (B) ;  Percentage changes,Percent,Seasonally Adjusted,3
7255,A2716047F,"Manufacturing (C) ;  Food, beverage and tobacco products: Percentage changes",Percent,Seasonally Adjusted,3
7256,A2716051W,"Manufacturing (C) ;  Petroleum, coal, chemical and rubber products: Percentage changes",Percent,Seasonally Adjusted,3
7257,A2716048J,Manufacturing (C) ;  Metal products: Percentage changes,Percent,Seasonally Adjusted,3
7258,A2716049K,Manufacturing (C) ;  Machinery and equipment: Percentage changes,Percent,Seasonally Adjusted,3
7259,A85231706F,Manufacturing (C) ;  Other manufacturing: Percentage changes,Percent,Seasonally Adjusted,3
7260,A2716046C,Manufacturing (C) ;  Percentage changes,Percent,Seasonally Adjusted,3
7261,A2716056J,"Electricity, gas, water and waste services (D) ;  Electricity: Percentage changes",Percent,Seasonally Adjusted,3
7262,A2716057K,"Electricity, gas, water and waste services (D) ;  Gas: Percentage changes",Percent,Seasonally Adjusted,3
7263,A2716058L,"Electricity, gas, water and waste services (D) ;  Water supply and waste services: Percentage changes",Percent,Seasonally Adjusted,3
7264,A2716055F,"Electricity, gas, water and waste services (D) ;  Percentage changes",Percent,Seasonally Adjusted,3
7265,A85231708K,Construction (E) ;  Building construction: Percentage changes,Percent,Seasonally Adjusted,3
7266,A85231710W,Construction (E) ;  Heavy and civil engineering construction: Percentage changes,Percent,Seasonally Adjusted,3
7267,A85231712A,Construction (E) ;  Construction services: Percentage changes,Percent,Seasonally Adjusted,3
7268,A2716059R,Construction (E) ;  Percentage changes,Percent,Seasonally Adjusted,3
7269,A2716060X,Wholesale trade (F) ;  Percentage changes,Percent,Seasonally Adjusted,3
7270,A2716061A,Retail trade (G) ;  Percentage changes,Percent,Seasonally Adjusted,3
7271,A2716062C,Accommodation and food services (H) ;  Percentage changes,Percent,Seasonally Adjusted,3
7272,A3348490X,"Transport, postal and warehousing (I) ;  Road: Percentage changes",Percent,Seasonally Adjusted,3
7273,A2716064J,"Transport, postal and warehousing (I) ;  Air and space transport: Percentage changes",Percent,Seasonally Adjusted,3
7274,A3348491A,"Transport, postal and warehousing (I) ;  Rail, pipeline and other transport: Percentage changes",Percent,Seasonally Adjusted,3
7275,A2716067R,"Transport, postal and warehousing (I) ;  Transport, postal and storage services: Percentage changes",Percent,Seasonally Adjusted,3
7276,A2716063F,"Transport, postal and warehousing (I) ;  Percentage changes",Percent,Seasonally Adjusted,3
7277,A85231714F,Information media and telecommunications (J) ;  Telecommunications services: Percentage changes,Percent,Seasonally Adjusted,3
7278,A85231716K,Information media and telecommunications (J) ;  Other information and media services: Percentage changes,Percent,Seasonally Adjusted,3
7279,A2716068T,Information media and telecommunications (J) ;  Percentage changes,Percent,Seasonally Adjusted,3
7280,A85231718R,Financial and insurance services (K) ;  Finance: Percentage changes,Percent,Seasonally Adjusted,3
7281,A85231720A,Financial and insurance services (K) ;  Other financial and insurance services: Percentage changes,Percent,Seasonally Adjusted,3
7282,A2716069V,Financial and insurance services (K) ;  Percentage changes,Percent,Seasonally Adjusted,3
7283,A85231722F,"Rental, hiring and real estate services (L) ;  Rental and hiring services: Percentage changes",Percent,Seasonally Adjusted,3
7284,A85231724K,"Rental, hiring and real estate services (L) ;  Property operators and real estate services: Percentage changes",Percent,Seasonally Adjusted,3
7285,A2716070C,"Rental, hiring and real estate services (L) ;  Percentage changes",Percent,Seasonally Adjusted,3
7286,A85231726R,"Professional, scientific and technical services (M) ;  Computer system design and related services: Percentage changes",Percent,Seasonally Adjusted,3
7287,A85231728V,"Professional, scientific and technical services (M) ;  Other professional, scientific and technical services: Percentage changes",Percent,Seasonally Adjusted,3
7288,A2716071F,"Professional, scientific and technical services (M) ;  Percentage changes",Percent,Seasonally Adjusted,3
7289,A2716072J,Administrative and support services (N) ;  Percentage changes,Percent,Seasonally Adjusted,3
7290,A2716073K,Public administration and safety (O) ;  Percentage changes,Percent,Seasonally Adjusted,3
7291,A2716074L,Education and training (P) ;  Percentage changes,Percent,Seasonally Adjusted,3
7292,A2716075R,Health care and social assistance (Q) ;  Percentage changes,Percent,Seasonally Adjusted,3
7293,A2716076T,Arts and recreation services (R) ;  Percentage changes,Percent,Seasonally Adjusted,3
7294,A2716077V,Other services (S) ;  Percentage changes,Percent,Seasonally Adjusted,3
7295,A2529210R,Ownership of dwellings ;  Percentage changes,Percent,Seasonally Adjusted,3
7296,A2303548W,Gross value added at basic prices: Percentage changes,Percent,Seasonally Adjusted,3
7297,A2323350L,Taxes less subsidies on products: Percentage changes,Percent,Seasonally Adjusted,3
7298,A2716242L,"Agriculture, forestry and fishing (A) ;  Agriculture",$ Millions,Original,3
7299,A2716243R,"Agriculture, forestry and fishing (A) ;  Forestry and fishing",$ Millions,Original,3
7300,A2716241K,"Agriculture, forestry and fishing (A)",$ Millions,Original,3
7301,A3605677T,Mining (B) ;  Coal Mining,$ Millions,Original,3
7302,A3605673J,Mining (B) ;  Oil and gas extraction,$ Millions,Original,3
7303,A83722620W,Mining (B) ;  Iron ore mining,$ Millions,Original,3
7304,A83722608F,Mining (B) ;  Other mining,$ Millions,Original,3
7305,A2716246W,Mining (B) ;  Mining excluding exploration and mining support services,$ Millions,Original,3
7306,A2716245V,Mining (B) ;  Exploration and mining support services,$ Millions,Original,3
7307,A2716244T,Mining (B),$ Millions,Original,3
7308,A2716248A,"Manufacturing (C) ;  Food, beverage and tobacco products",$ Millions,Original,3
7309,A2716252T,"Manufacturing (C) ;  Petroleum, coal, chemical and rubber products",$ Millions,Original,3
7310,A2716249C,Manufacturing (C) ;  Metal products,$ Millions,Original,3
7311,A2716250L,Manufacturing (C) ;  Machinery and equipment,$ Millions,Original,3
7312,A85231766J,Manufacturing (C) ;  Other manufacturing,$ Millions,Original,3
7313,A2716247X,Manufacturing (C),$ Millions,Original,3
7314,A2716257C,"Electricity, gas, water and waste services (D) ;  Electricity",$ Millions,Original,3
7315,A2716258F,"Electricity, gas, water and waste services (D) ;  Gas",$ Millions,Original,3
7316,A2716259J,"Electricity, gas, water and waste services (D) ;  Water supply and waste services",$ Millions,Original,3
7317,A2716256A,"Electricity, gas, water and waste services (D)",$ Millions,Original,3
7318,A85231767K,Construction (E) ;  Building construction,$ Millions,Original,3
7319,A85231768L,Construction (E) ;  Heavy and civil engineering construction,$ Millions,Original,3
7320,A85231769R,Construction (E) ;  Construction services,$ Millions,Original,3
7321,A2716260T,Construction (E),$ Millions,Original,3
7322,A2716261V,Wholesale trade (F),$ Millions,Original,3
7323,A2716262W,Retail trade (G),$ Millions,Original,3
7324,A2716263X,Accommodation and food services (H),$ Millions,Original,3
7325,A3348492C,"Transport, postal and warehousing (I) ;  Road",$ Millions,Original,3
7326,A2716265C,"Transport, postal and warehousing (I) ;  Air and space transport",$ Millions,Original,3
7327,A3348493F,"Transport, postal and warehousing (I) ;  Rail, pipeline and other transport",$ Millions,Original,3
7328,A2716268K,"Transport, postal and warehousing (I) ;  Transport, postal and storage services",$ Millions,Original,3
7329,A2716264A,"Transport, postal and warehousing (I)",$ Millions,Original,3
7330,A85231770X,Information media and telecommunications (J) ;  Telecommunications services,$ Millions,Original,3
7331,A85231771A,Information media and telecommunications (J) ;  Other information and media services,$ Millions,Original,3
7332,A2716269L,Information media and telecommunications (J),$ Millions,Original,3
7333,A85231772C,Financial and insurance services (K) ;  Finance,$ Millions,Original,3
7334,A85231773F,Financial and insurance services (K) ;  Other financial and insurance services,$ Millions,Original,3
7335,A2716270W,Financial and insurance services (K),$ Millions,Original,3
7336,A85231774J,"Rental, hiring and real estate services (L) ;  Rental and hiring services",$ Millions,Original,3
7337,A85231775K,"Rental, hiring and real estate services (L) ;  Property operators and real estate services",$ Millions,Original,3
7338,A2716271X,"Rental, hiring and real estate services (L)",$ Millions,Original,3
7339,A85231776L,"Professional, scientific and technical services (M) ;  Computer system design and related services",$ Millions,Original,3
7340,A85231777R,"Professional, scientific and technical services (M) ;  Other professional, scientific and technical services",$ Millions,Original,3
7341,A2716272A,"Professional, scientific and technical services (M)",$ Millions,Original,3
7342,A2716273C,Administrative and support services (N),$ Millions,Original,3
7343,A2716274F,Public administration and safety (O),$ Millions,Original,3
7344,A2716275J,Education and training (P),$ Millions,Original,3
7345,A2716276K,Health care and social assistance (Q),$ Millions,Original,3
7346,A2716277L,Arts and recreation services (R),$ Millions,Original,3
7347,A2716278R,Other services (S),$ Millions,Original,3
7348,A2529213W,Ownership of dwellings,$ Millions,Original,3
7349,A2302356K,Gross value added at basic prices,$ Millions,Original,3
7350,A2323348A,Taxes less subsidies on products,$ Millions,Original,3
7351,A2302358R,Statistical discrepancy (P),$ Millions,Original,3
7352,A2716121T,"Agriculture, forestry and fishing (A) ;  Agriculture: Contributions to growth",Index Points,Seasonally Adjusted,3
7353,A2716122V,"Agriculture, forestry and fishing (A) ;  Forestry and fishing: Contributions to growth",Index Points,Seasonally Adjusted,3
7354,A2716120R,"Agriculture, forestry and fishing (A) ;  Contributions to growth",Index Points,Seasonally Adjusted,3
7355,A3606072V,Mining (B) ;  Coal Mining: Contributions to growth,Index Points,Seasonally Adjusted,3
7356,A3606073W,Mining (B) ;  Oil and gas extraction: Contributions to growth,Index Points,Seasonally Adjusted,3
7357,A83722622A,Mining (B) ;  Iron ore mining: Contributions to growth,Index Points,Seasonally Adjusted,3
7358,A83722613X,Mining (B) ;  Other mining: Contributions to growth,Index Points,Seasonally Adjusted,3
7359,A2716125A,Mining (B) ;  Mining excluding exploration and mining support services: Contributions to growth,Index Points,Seasonally Adjusted,3
7360,A2716124X,Mining (B) ;  Exploration and mining support services: Contributions to growth,Index Points,Seasonally Adjusted,3
7361,A2716123W,Mining (B) ;  Contributions to growth,Index Points,Seasonally Adjusted,3
7362,A2716127F,"Manufacturing (C) ;  Food, beverage and tobacco products: Contributions to growth",Index Points,Seasonally Adjusted,3
7363,A2716131W,"Manufacturing (C) ;  Petroleum, coal, chemical and rubber products: Contributions to growth",Index Points,Seasonally Adjusted,3
7364,A2716128J,Manufacturing (C) ;  Metal products: Contributions to growth,Index Points,Seasonally Adjusted,3
7365,A2716129K,Manufacturing (C) ;  Machinery and equipment: Contributions to growth,Index Points,Seasonally Adjusted,3
7366,A85231730F,Manufacturing (C) ;  Other manufacturing: Contributions to growth,Index Points,Seasonally Adjusted,3
7367,A2716126C,Manufacturing (C) ;  Contributions to growth,Index Points,Seasonally Adjusted,3
7368,A2716136J,"Electricity, gas, water and waste services (D) ;  Electricity: Contributions to growth",Index Points,Seasonally Adjusted,3
7369,A2716137K,"Electricity, gas, water and waste services (D) ;  Gas: Contributions to growth",Index Points,Seasonally Adjusted,3
7370,A2716138L,"Electricity, gas, water and waste services (D) ;  Water supply and waste services: Contributions to growth",Index Points,Seasonally Adjusted,3
7371,A2716135F,"Electricity, gas, water and waste services (D) ;  Contributions to growth",Index Points,Seasonally Adjusted,3
7372,A85231731J,Construction (E) ;  Building construction: Contributions to growth,Index Points,Seasonally Adjusted,3
7373,A85231732K,Construction (E) ;  Heavy and civil engineering construction: Contributions to growth,Index Points,Seasonally Adjusted,3
7374,A85231733L,Construction (E) ;  Construction services: Contributions to growth,Index Points,Seasonally Adjusted,3
7375,A2716139R,Construction (E) ;  Contributions to growth,Index Points,Seasonally Adjusted,3
7376,A2716140X,Wholesale trade (F) ;  Contributions to growth,Index Points,Seasonally Adjusted,3
7377,A2716141A,Retail trade (G) ;  Contributions to growth,Index Points,Seasonally Adjusted,3
7378,A2716142C,Accommodation and food services (H) ;  Contributions to growth,Index Points,Seasonally Adjusted,3
7379,A3348494J,"Transport, postal and warehousing (I) ;  Road: Contributions to growth",Index Points,Seasonally Adjusted,3
7380,A2716144J,"Transport, postal and warehousing (I) ;  Air and space transport: Contributions to growth",Index Points,Seasonally Adjusted,3
7381,A3348495K,"Transport, postal and warehousing (I) ;  Rail, pipeline and other transport: Contributions to growth",Index Points,Seasonally Adjusted,3
7382,A2716147R,"Transport, postal and warehousing (I) ;  Transport, postal and storage services: Contributions to growth",Index Points,Seasonally Adjusted,3
7383,A2716143F,"Transport, postal and warehousing (I) ;  Contributions to growth",Index Points,Seasonally Adjusted,3
7384,A85231734R,Information media and telecommunications (J) ;  Telecommunications services: Contributions to growth,Index Points,Seasonally Adjusted,3
7385,A85231735T,Information media and telecommunications (J) ;  Other information and media services: Contributions to growth,Index Points,Seasonally Adjusted,3
7386,A2716148T,Information media and telecommunications (J) ;  Contributions to growth,Index Points,Seasonally Adjusted,3
7387,A85231736V,Financial and insurance services (K) ;  Finance: Contributions to growth,Index Points,Seasonally Adjusted,3
7388,A85231737W,Financial and insurance services (K) ;  Other financial and insurance services: Contributions to growth,Index Points,Seasonally Adjusted,3
7389,A2716149V,Financial and insurance services (K) ;  Contributions to growth,Index Points,Seasonally Adjusted,3
7390,A85231738X,"Rental, hiring and real estate services (L) ;  Rental and hiring services: Contributions to growth",Index Points,Seasonally Adjusted,3
7391,A85231739A,"Rental, hiring and real estate services (L) ;  Property operators and real estate services: Contributions to growth",Index Points,Seasonally Adjusted,3
7392,A2716150C,"Rental, hiring and real estate services (L) ;  Contributions to growth",Index Points,Seasonally Adjusted,3
7393,A85231740K,"Professional, scientific and technical services (M) ;  Computer system design and related services: Contributions to growth",Index Points,Seasonally Adjusted,3
7394,A85231741L,"Professional, scientific and technical services (M) ;  Other professional, scientific and technical services: Contributions to growth",Index Points,Seasonally Adjusted,3
7395,A2716151F,"Professional, scientific and technical services (M) ;  Contributions to growth",Index Points,Seasonally Adjusted,3
7396,A2716152J,Administrative and support services (N) ;  Contributions to growth,Index Points,Seasonally Adjusted,3
7397,A2716584L,Public administration and safety (O) ;  Contributions to growth,Index Points,Seasonally Adjusted,3
7398,A2716153K,Education and training (P) ;  Contributions to growth,Index Points,Seasonally Adjusted,3
7399,A2716154L,Health care and social assistance (Q) ;  Contributions to growth,Index Points,Seasonally Adjusted,3
7400,A2716155R,Arts and recreation services (R) ;  Contributions to growth,Index Points,Seasonally Adjusted,3
7401,A2716156T,Other services (S) ;  Contributions to growth,Index Points,Seasonally Adjusted,3
7402,A2529214X,Ownership of dwellings ;  Contributions to growth,Index Points,Seasonally Adjusted,3
7403,A2302397F,Gross value added at basic prices: Contributions to growth,Index Points,Seasonally Adjusted,3
7404,A2323352T,Taxes less subsidies on products: Contributions to growth,Index Points,Seasonally Adjusted,3
7405,A2716003C,"Agriculture, forestry and fishing (A) ;  Revision to percentage changes",Percent,Seasonally Adjusted,3
7406,A2716004F,Mining (B) ;  Revision to percentage changes,Percent,Seasonally Adjusted,3
7407,A2716005J,Manufacturing (C) ;  Revision to percentage changes,Percent,Seasonally Adjusted,3
7408,A2716006K,"Electricity, gas, water and waste services (D) ;  Revision to percentage changes",Percent,Seasonally Adjusted,3
7409,A2716007L,Construction (E) ;  Revision to percentage changes,Percent,Seasonally Adjusted,3
7410,A2716008R,Wholesale trade (F) ;  Revision to percentage changes,Percent,Seasonally Adjusted,3
7411,A2716009T,Retail trade (G) ;  Revision to percentage changes,Percent,Seasonally Adjusted,3
7412,A2716010A,Accommodation and food services (H) ;  Revision to percentage changes,Percent,Seasonally Adjusted,3
7413,A2716011C,"Transport, postal and warehousing (I) ;  Revision to percentage changes",Percent,Seasonally Adjusted,3
7414,A2716012F,Information media and telecommunications (J) ;  Revision to percentage changes,Percent,Seasonally Adjusted,3
7415,A2716013J,Financial and insurance services (K) ;  Revision to percentage changes,Percent,Seasonally Adjusted,3
7416,A2716014K,"Rental, hiring and real estate services (L) ;  Revision to percentage changes",Percent,Seasonally Adjusted,3
7417,A2716015L,"Professional, scientific and technical services (M) ;  Revision to percentage changes",Percent,Seasonally Adjusted,3
7418,A2716016R,Administrative and support services (N) ;  Revision to percentage changes,Percent,Seasonally Adjusted,3
7419,A2716017T,Public administration and safety (O) ;  Revision to percentage changes,Percent,Seasonally Adjusted,3
7420,A2716018V,Education and training (P) ;  Revision to percentage changes,Percent,Seasonally Adjusted,3
7421,A2716019W,Health care and social assistance (Q) ;  Revision to percentage changes,Percent,Seasonally Adjusted,3
7422,A2716020F,Arts and recreation services (R) ;  Revision to percentage changes,Percent,Seasonally Adjusted,3
7423,A2716021J,Other services (S) ;  Revision to percentage changes,Percent,Seasonally Adjusted,3
7424,A2529212V,Ownership of dwellings ;  GROSS DOMESTIC PRODUCT: Revision to percentage changes,Percent,Seasonally Adjusted,3
7425,A2302694A,Gross value added at basic prices: Revision to percentage changes,Percent,Seasonally Adjusted,3
7426,A2323349C,Taxes less subsidies on products: Revision to percentage changes,Percent,Seasonally Adjusted,3
7427,A2303552L,Compensation of employees - Wages and salaries,$ Millions,Trend,3
7428,A2303554T,Compensation of employees - Employers' social contributions,$ Millions,Trend,3
7429,A2303556W,Compensation of employees,$ Millions,Trend,3
7430,A2323378R,Private non-financial corporations ;  Gross operating surplus,$ Millions,Trend,3
7431,A2303560L,Public non-financial corporations ;  Gross operating surplus,$ Millions,Trend,3
7432,A2303562T,Non-financial corporations ;  Gross operating surplus,$ Millions,Trend,3
7433,A2303564W,Financial corporations ;  Gross operating surplus,$ Millions,Trend,3
7434,A2303566A,Total corporations ;  Gross operating surplus,$ Millions,Trend,3
7435,A2298709V,Gross operating surplus,$ Millions,Trend,3
7436,A2303570T,Gross operating surplus ;  Dwellings owned by persons,$ Millions,Trend,3
7437,A2303572W,Gross operating surplus,$ Millions,Trend,3
7438,A2303574A,Gross mixed income,$ Millions,Trend,3
7439,A2303576F,Total factor income,$ Millions,Trend,3
7440,A2303578K,Taxes less subsidies on production and imports,$ Millions,Trend,3
7441,A2303325L,Statistical discrepancy (I),$ Millions,Trend,3
7442,A2303327T,Compensation of employees - Wages and salaries: Percentage changes,Percent,Trend,3
7443,A2303329W,Compensation of employees - Employers' social contributions: Percentage changes,Percent,Trend,3
7444,A2303331J,Compensation of employees: Percentage changes,Percent,Trend,3
7445,A2323376K,Private non-financial corporations ;  Gross operating surplus: Percentage changes,Percent,Trend,3
7446,A2303335T,Public non-financial corporations ;  Gross operating surplus: Percentage changes,Percent,Trend,3
7447,A2303337W,Non-financial corporations ;  Gross operating surplus: Percentage changes,Percent,Trend,3
7448,A2303339A,Financial corporations ;  Gross operating surplus: Percentage changes,Percent,Trend,3
7449,A2303341L,Total corporations ;  Gross operating surplus: Percentage changes,Percent,Trend,3
7450,A2298677L,General government ;  Gross operating surplus: Percentage changes,Percent,Trend,3
7451,A2303345W,Dwellings owned by persons ;  Gross operating surplus: Percentage changes,Percent,Trend,3
7452,A2303347A,All sectors ;  Gross operating surplus: Percentage changes,Percent,Trend,3
7453,A2303349F,Gross mixed income: Percentage changes,Percent,Trend,3
7454,A2303351T,Total factor income: Percentage changes,Percent,Trend,3
7455,A2303353W,Taxes less subsidies on production and imports: Percentage changes,Percent,Trend,3
7456,A2303355A,Compensation of employees - Wages and salaries,$ Millions,Seasonally Adjusted,3
7457,A2303357F,Compensation of employees - Employers' social contributions,$ Millions,Seasonally Adjusted,3
7458,A2303359K,Australia ;  Total  ;  Compensation of employees,$ Millions,Seasonally Adjusted,3
7459,A2323372A,Private non-financial corporations ;  Gross operating surplus,$ Millions,Seasonally Adjusted,3
7460,A2303363A,Public non-financial corporations ;  Gross operating surplus,$ Millions,Seasonally Adjusted,3
7461,A2303365F,Non-financial corporations ;  Gross operating surplus,$ Millions,Seasonally Adjusted,3
7462,A2303367K,Financial corporations ;  Gross operating surplus,$ Millions,Seasonally Adjusted,3
7463,A2303369R,Total corporations ;  Gross operating surplus,$ Millions,Seasonally Adjusted,3
7464,A2298712J,Gross operating surplus,$ Millions,Seasonally Adjusted,3
7465,A2303373F,Gross operating surplus ;  Dwellings owned by persons,$ Millions,Seasonally Adjusted,3
7466,A2303375K,Gross operating surplus,$ Millions,Seasonally Adjusted,3
7467,A2303377R,Gross mixed income,$ Millions,Seasonally Adjusted,3
7468,A2303379V,Total factor income,$ Millions,Seasonally Adjusted,3
7469,A2303381F,Taxes less subsidies on production and imports,$ Millions,Seasonally Adjusted,3
7470,A2303383K,Statistical discrepancy (I),$ Millions,Seasonally Adjusted,3
7471,A2303385R,Compensation of employees - Wages and salaries: Percentage changes,Percent,Seasonally Adjusted,3
7472,A2303387V,Compensation of employees - Employers' social contributions: Percentage changes,Percent,Seasonally Adjusted,3
7473,A2303389X,Australia ;  Total  ;  Compensation of employees: Percentage changes,Percent,Seasonally Adjusted,3
7474,A2323370W,Private non-financial corporations ;  Gross operating surplus: Percentage changes,Percent,Seasonally Adjusted,3
7475,A2303393R,Public non-financial corporations ;  Gross operating surplus: Percentage changes,Percent,Seasonally Adjusted,3
7476,A2303395V,Non-financial corporations ;  Gross operating surplus: Percentage changes,Percent,Seasonally Adjusted,3
7477,A2303397X,Financial corporations ;  Gross operating surplus: Percentage changes,Percent,Seasonally Adjusted,3
7478,A2303399C,Total corporations ;  Gross operating surplus: Percentage changes,Percent,Seasonally Adjusted,3
7479,A2298678R,General government ;  Gross operating surplus: Percentage changes,Percent,Seasonally Adjusted,3
7480,A2303403J,Dwellings owned by persons ;  Gross operating surplus: Percentage changes,Percent,Seasonally Adjusted,3
7481,A2303405L,All sectors ;  Gross operating surplus: Percentage changes,Percent,Seasonally Adjusted,3
7482,A2303407T,Gross mixed income: Percentage changes,Percent,Seasonally Adjusted,3
7483,A2303409W,Total factor income: Percentage changes,Percent,Seasonally Adjusted,3
7484,A2303411J,Taxes less subsidies on production and imports: Percentage changes,Percent,Seasonally Adjusted,3
7485,A2302399K,Compensation of employees - Wages and salaries,$ Millions,Original,3
7486,A2302400J,Compensation of employees - Employers' social contributions,$ Millions,Original,3
7487,A2302401K,Compensation of employees,$ Millions,Original,3
7488,A2323369L,Private non-financial corporations ;  Gross operating surplus,$ Millions,Original,3
7489,A2302403R,Public non-financial corporations ;  Gross operating surplus,$ Millions,Original,3
7490,A2302404T,Non-financial corporations ;  Gross operating surplus,$ Millions,Original,3
7491,A2302405V,Financial corporations ;  Gross operating surplus,$ Millions,Original,3
7492,A2302406W,Total corporations ;  Gross operating surplus,$ Millions,Original,3
7493,A2298711F,Gross operating surplus,$ Millions,Original,3
7494,A2302408A,Gross operating surplus ;  Dwellings owned by persons,$ Millions,Original,3
7495,A2302409C,Gross operating surplus,$ Millions,Original,3
7496,A2302410L,Gross mixed income,$ Millions,Original,3
7497,A2302411R,Total factor income,$ Millions,Original,3
7498,A2302412T,Taxes less subsidies on production and imports,$ Millions,Original,3
7499,A2302413V,Statistical discrepancy (I),$ Millions,Original,3
7500,A2302665R,Compensation of employees: Revisions,$ Millions,Seasonally Adjusted,3
7501,A2323374F,Private non-financial corporations ;  Gross operating surplus: Revisions,$ Millions,Seasonally Adjusted,3
7502,A2302667V,Public non-financial corporations ;  Gross operating surplus: Revisions,$ Millions,Seasonally Adjusted,3
7503,A2302668W,Financial corporations ;  Gross operating surplus: Revisions,$ Millions,Seasonally Adjusted,3
7504,A2298714L,General government ;  Gross operating surplus: Revisions,$ Millions,Seasonally Adjusted,3
7505,A2302670J,Dwellings owned by persons ;  Gross operating surplus: Revisions,$ Millions,Seasonally Adjusted,3
7506,A2302671K,All sectors ;  Gross operating surplus: Revisions,$ Millions,Seasonally Adjusted,3
7507,A2302672L,Gross mixed income: Revisions,$ Millions,Seasonally Adjusted,3
7508,A2302673R,Total factor income: Revisions,$ Millions,Seasonally Adjusted,3
7509,A2302674T,Taxes less subsidies on production and imports: Revisions,$ Millions,Seasonally Adjusted,3
7510,A2302675V,Statistical discrepancy (I): Revisions,$ Millions,Seasonally Adjusted,3
7511,A2303413L,Food: Chain volume measures,$ Millions,Trend,3
7512,A2303415T,Cigarettes and tobacco: Chain volume measures,$ Millions,Trend,3
7513,A2303417W,Alcoholic beverages: Chain volume measures,$ Millions,Trend,3
7514,A2303419A,Clothing and footwear: Chain volume measures,$ Millions,Trend,3
7515,A2303421L,Rent and other dwelling services: Chain volume measures,$ Millions,Trend,3
7516,A2303423T,"Electricity, gas and other fuel: Chain volume measures",$ Millions,Trend,3
7517,A2303425W,Furnishings and household equipment: Chain volume measures,$ Millions,Trend,3
7518,A2303427A,Health: Chain volume measures,$ Millions,Trend,3
7519,A2303429F,Purchase of vehicles: Chain volume measures,$ Millions,Trend,3
7520,A2303431T,Operation of vehicles: Chain volume measures,$ Millions,Trend,3
7521,A2303433W,Transport services: Chain volume measures,$ Millions,Trend,3
7522,A2303435A,Communications: Chain volume measures,$ Millions,Trend,3
7523,A2303437F,Recreation and culture: Chain volume measures,$ Millions,Trend,3
7524,A2303439K,Education services: Chain volume measures,$ Millions,Trend,3
7525,A2303441W,"Hotels, cafes and restaurants: Chain volume measures",$ Millions,Trend,3
7526,A2303443A,Insurance and other financial services: Chain volume measures,$ Millions,Trend,3
7527,A2303445F,Other goods and services: Chain volume measures,$ Millions,Trend,3
7528,A2303447K,FINAL CONSUMPTION EXPENDITURE: Chain volume measures,$ Millions,Trend,3
7529,A2303449R,Food: Chain volume measures - Percentage changes,Percent,Trend,3
7530,A2303451A,Cigarettes and tobacco: Chain volume measures - Percentage changes,Percent,Trend,3
7531,A2303214W,Alcoholic beverages: Chain volume measures - Percentage changes,Percent,Trend,3
7532,A2303216A,Clothing and footwear: Chain volume measures - Percentage changes,Percent,Trend,3
7533,A2303218F,Rent and other dwelling services: Chain volume measures - Percentage changes,Percent,Trend,3
7534,A2303220T,"Electricity, gas and other fuel: Chain volume measures - Percentage changes",Percent,Trend,3
7535,A2303222W,Furnishings and household equipment: Chain volume measures - Percentage changes,Percent,Trend,3
7536,A2303224A,Health: Chain volume measures - Percentage changes,Percent,Trend,3
7537,A2303226F,Purchase of vehicles: Chain volume measures - Percentage changes,Percent,Trend,3
7538,A2303228K,Operation of vehicles: Chain volume measures - Percentage changes,Percent,Trend,3
7539,A2303230W,Transport services: Chain volume measures - Percentage changes,Percent,Trend,3
7540,A2303232A,Communications: Chain volume measures - Percentage changes,Percent,Trend,3
7541,A2303234F,Recreation and culture: Chain volume measures - Percentage changes,Percent,Trend,3
7542,A2303236K,Education services: Chain volume measures - Percentage changes,Percent,Trend,3
7543,A2303238R,"Hotels, cafes and restaurants: Chain volume measures - Percentage changes",Percent,Trend,3
7544,A2303240A,Insurance and other financial services: Chain volume measures - Percentage changes,Percent,Trend,3
7545,A2303242F,Other goods and services: Chain volume measures - Percentage changes,Percent,Trend,3
7546,A2303244K,FINAL CONSUMPTION EXPENDITURE: Chain volume measures - Percentage changes,Percent,Trend,3
7547,A2303246R,Food: Chain volume measures,$ Millions,Seasonally Adjusted,3
7548,A2303248V,Cigarettes and tobacco: Chain volume measures,$ Millions,Seasonally Adjusted,3
7549,A2303250F,Alcoholic beverages: Chain volume measures,$ Millions,Seasonally Adjusted,3
7550,A2303252K,Clothing and footwear: Chain volume measures,$ Millions,Seasonally Adjusted,3
7551,A2303254R,Rent and other dwelling services: Chain volume measures,$ Millions,Seasonally Adjusted,3
7552,A2303256V,"Electricity, gas and other fuel: Chain volume measures",$ Millions,Seasonally Adjusted,3
7553,A2303258X,Furnishings and household equipment: Chain volume measures,$ Millions,Seasonally Adjusted,3
7554,A2303260K,Health: Chain volume measures,$ Millions,Seasonally Adjusted,3
